capturing trace... done
TRACE:
# tracer: nop
#
# entries-in-buffer/entries-written: 15207/15207   #P:4
#
#                                      _-----=> irqs-off
#                                     / _----=> need-resched
#                                    | / _---=> hardirq/softirq
#                                    || / _--=> preempt-depth
#                                    ||| /     delay
#           TASK-PID    TGID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |        |      |   ||||       |         |
          atrace-10118 (10118) [003] ...1  6203.263308: tracing_mark_write: trace_event_clock_sync: parent_ts=3539.973145
          atrace-10118 (10118) [003] ...1  6203.263321: tracing_mark_write: trace_event_clock_sync: realtime_ts=1321013411790
          <idle>-0     (-----) [000] ..s2  6203.394044: mmc_blk_rw_end: cmd=25,addr=0x013e43a0,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.394112: mmc_blk_rw_start: cmd=25,addr=0x0135f270,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.394336: mmc_blk_rw_end: cmd=25,addr=0x0135f270,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.396383: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.396807: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.399820: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.400252: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.400361: mmc_blk_rw_start: cmd=25,addr=0x013e6198,size=0x00000010
          <idle>-0     (-----) [000] .Ns2  6203.400606: mmc_blk_rw_end: cmd=25,addr=0x013e6198,size=0x00000010
         mmcqd/1-1371  ( 1371) [001] ...1  6203.403010: mmc_blk_rw_start: cmd=25,addr=0x008e2a08,size=0x00000018
          <idle>-0     (-----) [000] ..s2  6203.403516: mmc_blk_rw_end: cmd=25,addr=0x008e2a08,size=0x00000018
         mmcqd/1-1371  ( 1371) [000] ...1  6203.405759: mmc_blk_rw_start: cmd=25,addr=0x008e2a20,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.407305: mmc_blk_rw_end: cmd=25,addr=0x008e2a20,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.408310: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.408559: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.410818: mmc_blk_rw_start: cmd=25,addr=0x013e43a0,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.411255: mmc_blk_rw_end: cmd=25,addr=0x013e43a0,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.411336: mmc_blk_rw_start: cmd=25,addr=0x0135f270,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.411571: mmc_blk_rw_end: cmd=25,addr=0x0135f270,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.413798: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.414270: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.417618: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.418151: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.418304: mmc_blk_rw_start: cmd=25,addr=0x013e6198,size=0x00000010
          <idle>-0     (-----) [000] ..s2  6203.418523: mmc_blk_rw_end: cmd=25,addr=0x013e6198,size=0x00000010
         mmcqd/1-1371  ( 1371) [000] ...1  6203.420838: mmc_blk_rw_start: cmd=25,addr=0x008e2a28,size=0x00000018
          <idle>-0     (-----) [000] .Ns2  6203.421321: mmc_blk_rw_end: cmd=25,addr=0x008e2a28,size=0x00000018
         mmcqd/1-1371  ( 1371) [000] ...1  6203.423593: mmc_blk_rw_start: cmd=25,addr=0x008e2a40,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.425232: mmc_blk_rw_end: cmd=25,addr=0x008e2a40,size=0x00000008
         mmcqd/1-1371  ( 1371) [001] ...1  6203.426218: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.426498: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.428951: mmc_blk_rw_start: cmd=25,addr=0x013e43a0,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.429358: mmc_blk_rw_end: cmd=25,addr=0x013e43a0,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.429464: mmc_blk_rw_start: cmd=25,addr=0x0135f270,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.429715: mmc_blk_rw_end: cmd=25,addr=0x0135f270,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.431955: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.432363: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.435544: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.435959: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.436040: mmc_blk_rw_start: cmd=25,addr=0x013e6198,size=0x00000010
          <idle>-0     (-----) [000] ..s2  6203.436324: mmc_blk_rw_end: cmd=25,addr=0x013e6198,size=0x00000010
         mmcqd/1-1371  ( 1371) [003] ...1  6203.438664: mmc_blk_rw_start: cmd=25,addr=0x008e2a48,size=0x00000010
          <idle>-0     (-----) [000] ..s2  6203.439101: mmc_blk_rw_end: cmd=25,addr=0x008e2a48,size=0x00000010
         mmcqd/1-1371  ( 1371) [000] ...1  6203.441248: mmc_blk_rw_start: cmd=25,addr=0x008e2a58,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.442797: mmc_blk_rw_end: cmd=25,addr=0x008e2a58,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.443769: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.444072: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.446831: mmc_blk_rw_start: cmd=25,addr=0x013e43a0,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.447278: mmc_blk_rw_end: cmd=25,addr=0x013e43a0,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.447377: mmc_blk_rw_start: cmd=25,addr=0x0135f270,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.447633: mmc_blk_rw_end: cmd=25,addr=0x0135f270,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.450199: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.450629: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.454149: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.454548: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.454766: mmc_blk_rw_start: cmd=25,addr=0x013e6198,size=0x00000010
          <idle>-0     (-----) [000] ..s2  6203.455045: mmc_blk_rw_end: cmd=25,addr=0x013e6198,size=0x00000010
         mmcqd/1-1371  ( 1371) [000] ...1  6203.457343: mmc_blk_rw_start: cmd=25,addr=0x008e2a60,size=0x00000018
 GFXD Logcat Det-2332  ( 2175) [000] .Ns2  6203.457776: mmc_blk_rw_end: cmd=25,addr=0x008e2a60,size=0x00000018
         mmcqd/1-1371  ( 1371) [000] ...1  6203.460199: mmc_blk_rw_start: cmd=25,addr=0x008e2a78,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.461783: mmc_blk_rw_end: cmd=25,addr=0x008e2a78,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.462880: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.463144: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
