Block_Device File Inode Blocks
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_sim_cd_eint3_to_eint1.tlv" 614 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00imx135-0-0x8-0x1.aiqb" 124 
/dev/block/mmcblk0p8 179:8 "/vendor/bin/houdini" 82 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/firmware/gnss/MECPU_EMER_5_GNSS_2.2_p.ptc" 303 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libGLESv3.so" 1088 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/hw/gralloc.gmin.so" 948 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/mmgr_7260_conf_2.xml" 459 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libemoji.so" 1120 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libserviceutility.so" 1163 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libm.so" 842 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00ov5648-t10a2ig_1_coho.aiqb" 149 
/dev/block/mmcblk0p8 179:8 "/vendor/intel/validation/core/igt/tools/registers/Makefile.am" 738 
/dev/block/mmcblk0p8 179:8 "/vendor/bin/log-watch" 89 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_hw_7160_1.3.tlv" 696 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_band_config_update_DSDA_NA.tlv" 684 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/mmgr_7260_conf_4.xml" 461 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libandroidfw.so" 1098 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_BXT_EVT_sim_polarity.tlv" 569 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libmedia.so" 1140 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libOclCpuBackEnd.so" 956 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libbacktrace.so" 1103 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00ov8858.r2_cht_mrd.aiqb" 173 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libstdc++.so" 1178 
/dev/block/mmcblk0p8 179:8 "/vendor/app/RefCam2/RefCam2.apk" 49 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libbase.so" 1104 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libpvl_smile_detection.so" 1044 
/dev/block/mmcblk0p8 179:8 "/vendor/intel/validation/core/igt/tools/registers/haswell_other.txt" 757 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libz.so" 893 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libtinyalsa_custom-subsystem.so" 1343 
/dev/block/mmcblk0p8 179:8 "/vendor/framework/crashinfo.jar" 731 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00ov8858.Sf3g_mrd5_p1.aiqb" 168 
/dev/block/mmcblk0p8 179:8 "/vendor/bin/dumpstate_dropbox.sh" 75 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/firmware/gnss/CPCPU_SSF_5_GNSS_2.2_p.ssf" 298 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/DptfPolicyVirtualSensor.so" 777 
